Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax,e2eMea,e2eStd,e2eMin,e2eMax
1.6,21,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2495,2.94651,4.166,8.333,0.50036,0.707616,0,1.00072,35.5763,22.5678,19.6184,51.5341,42.3261,18.9137,28.9521,55.7001,
1.6,23,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,8.333,0,0,0,0,6.242,0,6.242,6.242,14.575,0,14.575,14.575,
1.6,8,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,11.5048,6.30059,4.22971,15.1834,16.6716,6.30059,9.39643,20.3501,
1.6,9,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,0,0,0,0,8.10693,1.50868,6.93414,10.161,12.2729,1.50868,11.1001,14.327,
1.6,2,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,9.90828,0,9.90828,9.90828,15.075,0,15.075,15.075,
1.7,1,6,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,5.00116,0,5.00116,5.00116,53.7948,33.8243,5.60498,104.683,62.9619,33.8243,14.7721,113.85,
1.7,24,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,10.0012,0,10.0012,10.0012,3.97831,1.11013,2.93498,6.02098,18.1455,1.11013,17.1021,20.1881,
1.7,19,6,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,9.71599,4.00901,5.66428,14.7694,14.8827,4.00901,10.831,19.9361,
1.7,7,3,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,8.333,0,0,0,0,4.67183,1.45031,2.68914,6.43514,13.0048,1.45031,11.0221,14.7681,
1.7,21,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,8.333,1.00072,0,1.00072,1.00072,13.2778,2.10354,11.7904,14.7653,22.6116,2.10354,21.1241,24.099,
1.7,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.7,8,2,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,3.39609,0.417088,2.93942,3.85542,8.56281,0.417088,8.10614,9.02214,
1.7,9,5,5,7,6,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,0,0,0,0,6.3412,5.77456,2.69014,19.2576,10.5072,5.77456,6.85614,23.4236,
1.7,2,3,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,32.0756,30.916,2.68742,81.6834,37.2424,30.916,7.85414,86.8501,
1.8,1,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,5.00116,0,5.00116,5.00116,26.273,0,26.273,26.273,35.4401,0,35.4401,35.4401,
1.8,24,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,10.0012,0,10.0012,10.0012,3.86624,1.16871,2.92312,5.96412,18.0334,1.16871,17.0903,20.1313,
1.8,19,6,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,19.0654,15.8294,3.18942,38.7734,24.2321,15.8294,8.35614,43.9401,
1.8,7,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,8.333,0,0,0,0,3.07243,0.661228,2.69314,4.416,11.4054,0.661228,11.0261,12.749,
1.8,21,5,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,8.333,8.333,1.00072,0,1.00072,1.00072,8.37879,9.22424,2.71042,28.2084,17.7125,9.22424,12.0441,37.5421,
1.8,23,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.8,8,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,5.31642,0.0579828,5.27542,5.35742,10.4831,0.0579828,10.4421,10.5241,
1.8,9,5,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,0,0,0,0,7.02514,1.0363,5.85814,8.19214,11.1911,1.0363,10.0241,12.3581,
1.8,2,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,4.34585,1.75917,2.68942,6.32371,9.51257,1.75917,7.85614,11.4904,
1.9,1,6,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,5.00116,0,5.00116,5.00116,18.3064,17.2556,5.44498,43.275,27.4735,17.2556,14.6121,52.4421,
1.9,24,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,10.0012,0,10.0012,10.0012,4.66488,1.0771,3.77898,6.05012,18.832,1.0771,17.9461,20.2173,
1.9,19,6,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,4.166,0,4.166,4.166,1.00072,0,1.00072,1.00072,14.5272,12.2596,4.44542,38.8594,19.694,12.2596,9.61214,44.0261,
