Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax,e2eMea,e2eStd,e2eMin,e2eMax
1.1,4,2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,5.48863,0.797121,4.65955,6.83812,13.9898,0.797121,13.1607,15.3393,
1.1,16,5,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,3.23693,0.102062,3.19527,3.44527,11.7381,0.102062,11.6964,11.9464,
1.1,1,2,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,5.82428,1.33551,4.68142,8.43142,13.325,1.33551,12.1821,15.9321,
1.1,3,6,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0.214594,0.267646,0,0.50072,5.3604,0.837729,4.43214,6.68142,12.575,1.08836,11.4321,14.1821,
1.1,7,3,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0.50072,0,0.50072,0.50072,2.93142,0,2.93142,2.93142,10.4321,0,10.4321,10.4321,
1.1,4,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,3.44527,0.144338,3.19527,3.69527,16.9464,0.144338,16.6964,17.1964,
1.1,13,6,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,3.282,0.418461,2.90955,3.94527,16.7832,0.418461,16.4107,17.4464,
1.1,16,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,6.50116,0,6.50116,6.50116,3.49884,0.85042,3.17741,5.42741,17,0.85042,16.6786,18.9286,
1.1,19,6,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.93142,0,2.93142,2.93142,5.43214,0,5.43214,5.43214,
1.1,17,2,6,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.75285,0.313392,3.43142,4.43142,6.25357,0.313392,5.93214,6.93214,
