Time,ueId,assoCell,compCell,taskCount, upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
1.5,15,5,7,7,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,3.09224,0.273495,2.98,3.71214,
1.5,2,2,8,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,4.30143,0,4.30143,4.30143,
1.5,17,6,8,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.90857,0,2.90857,2.90857,
1.5,3,2,9,6,1.17955,0,1.17955,1.17955,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,4.26571,0,4.26571,4.26571,
1.5,7,3,9,6,1.19741,0,1.19741,1.19741,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,2.74785,0,2.74785,2.74785,
1.5,8,3,9,6,1.17955,0,1.17955,1.17955,11.5,0,11.5,11.5,0,0,0,0,7,0,7,7,11.5012,0,11.5012,11.5012,2.74785,0,2.74785,2.74785,
1.5,11,4,2,7,1.28572,0.365963,1.07143,1.82143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.26202,0.185208,2.90998,3.39213,
1.5,12,4,5,7,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,3.38958,0.465934,3.17784,4.42784,
1.6,12,3,7,4,1.42955,0,1.42955,1.42955,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,9.08714,0.279318,8.855,9.48,
1.6,17,6,7,5,1.04741,0.0159718,1.01884,1.05455,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,5.11214,1.00988,3.39071,5.855,
1.6,8,3,8,5,1.07955,0.0833752,1.01884,1.17955,7.5,2.23607,6.5,11.5,0,0,0,0,4.6,1.34164,4,7,7.50116,2.23607,6.50116,11.5012,6.89785,2.36917,2.74785,8.76571,
1.6,15,2,8,1,1.07241,0,1.07241,1.07241,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,5.62285,0,5.62285,5.62285,
1.6,3,2,9,6,1.18253,0.0208756,1.14384,1.19741,11.5,0,11.5,11.5,0,0,0,0,3.66667,2.58199,2,7,11.509,0.0192518,11.5012,11.5483,4.68345,1.36655,2.76571,6.43284,
1.6,7,3,2,5,1.18928,0.177047,0.946427,1.44643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,8.56713,1.03011,6.73141,9.12427,
1.6,9,4,2,1,1.14286,0,1.14286,1.14286,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,61.5886,0,61.5886,61.5886,
1.6,11,3,2,4,1.14286,0.127108,1,1.25,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,21.4814,10.5319,8.14213,33.6421,
1.6,20,6,2,5,1.39286,0.409353,1.10714,2.10714,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.69927,1.11313,2.89213,5.73141,
1.6,6,2,3,5,1.425,0.385152,1.08929,1.83929,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,4.34927,1.41351,2.73141,6.37427,
1.6,14,5,3,5,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,3.01713,0.146711,2.90998,3.17784,
1.6,2,4,4,6,1.31266,0.221555,1.01884,1.67857,1.08333,2.65361,0,6.5,0,0,0,0,2.33333,0.816497,2,4,1.08353,2.65409,0,6.50116,5.04726,1.82645,2.91071,7.32143,
1.6,19,6,5,5,1.23214,0,1.23214,1.23214,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,4.50641,1.16288,2.90998,5.64213,
1.7,12,3,7,6,1.42955,0,1.42955,1.42955,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,7.74488,0.848274,7.14071,9.44428,
1.7,17,6,7,6,1.05455,0,1.05455,1.05455,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,5.48297,0.00729009,5.48,5.49785,
1.7,8,3,8,7,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50295,0.00427612,6.50116,6.5126,6.62362,0.572222,6.01571,7.40857,
1.7,15,2,8,9,3.98709,5.25105,1.67955,17.9474,6.5,0,6.5,6.5,0.335317,1.00595,0,3.01786,4,0,4,4,6.50116,0,6.50116,6.50116,13.8312,17.5176,3.24785,51.7657,
1.7,3,2,9,7,1.1668,0.149302,0.947411,1.4117,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,5.46469,0.699355,4.76571,6.40857,
1.7,7,3,2,6,1.17857,0.0112938,1.16071,1.19643,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,7.83856,0.510477,7.49927,8.85642,
1.7,9,4,2,6,1.30655,0.248058,1,1.71429,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,76.7225,7.51033,70.5528,91.3028,
1.7,11,3,2,8,1.28348,0.171396,1,1.48214,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,9.51936,5.58328,6.9457,22.9636,
1.7,20,6,2,6,1.04464,0.0218703,1.03571,1.08929,0.500009,0,0.500009,0.500009,0,0,0,0,9,0,9,9,0.50072,0,0.50072,0.50072,4.49034,0.0218703,4.4457,4.49927,
1.7,6,2,3,7,1.22704,0.277546,1.08929,1.83929,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,5.54774,1.18696,4.5707,8.0707,
1.7,14,5,3,6,1.07143,0,1.07143,1.07143,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
1.7,2,4,4,6,1.6369,0.188193,1.42857,1.92857,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.99702,0.950457,2.94643,5.25,
1.7,19,6,5,7,1.23214,0,1.23214,1.23214,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,4.98651,0.130701,4.90998,5.17784,
1.8,12,3,7,7,1.64397,0.36618,1.42955,2.18044,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50238,0.00323235,6.50116,6.50971,7.7261,0.512209,6.91699,8.48,
1.8,17,6,7,6,1.05455,0,1.05455,1.05455,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,5.48297,0.00729009,5.48,5.49785,
1.8,8,3,8,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,6.78059,0.341331,6.30143,7.31928,
1.8,15,2,8,7,1.92445,0.417862,1.19741,2.17955,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,5.03867,4.52869,2.73,15.2479,
