Time,ueId,assoCell,compCell,taskCount,succCount,upWlMea,upWlStd,upWlMin,upWlMax,upWdMea,upWdStd,upWdMin,upWdMax,queMea,queStd,queMin,queMax,compMea, compStd, compMin, compMax,dnWdMea, dnWdStd, dnWdMin, dnWdMax,dnWlMea,dnWlStd, dnWlMin, dnWlMax
2,2,2,6,6,0,1.08432,0.148405,0.947411,1.26884,11.5,0,11.5,11.5,0,0,0,0,4,0,4,4,11.5012,0,11.5012,11.5012,4.50678,0.298966,4.14071,4.87285,
2.1,3,3,4,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
2.1,1,2,6,7,5,1.11833,0.174921,0.875983,1.26884,11.5,0,11.5,11.5,0,0,0,0,2.57143,0.9759,2,4,11.5012,0,11.5012,11.5012,3.41622,0.931421,2.73,4.855,
2.2,4,3,5,5,5,1.16527,0.071873,1.0367,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.78,0.071873,2.74785,2.90857,
2.2,1,2,3,5,5,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
2.2,3,3,3,5,5,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,2.91071,0,2.91071,2.91071,
2.3,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
2.3,1,2,3,7,7,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,4,0,4,4,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
2.3,3,3,3,7,7,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,2.91071,0,2.91071,2.91071,
2.4,4,3,5,6,6,1.19741,0,1.19741,1.19741,6.5,0,6.5,6.5,0,0,0,0,2,0,2,2,6.50116,0,6.50116,6.50116,2.74785,0,2.74785,2.74785,
2.4,1,2,3,6,6,1.01786,0,1.01786,1.01786,0.500009,0,0.500009,0.500009,0,0,0,0,2,0,2,2,0.50072,0,0.50072,0.50072,2.90998,0,2.90998,2.90998,
2.5,2,2,5,4,4,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,4.40857,0,4.40857,4.40857,
2.5,4,3,5,6,6,1.29265,0.18164,1.01884,1.44741,6.5,0,6.5,6.5,0,0,0,0,3.66667,0.816497,2,4,6.50116,0,6.50116,6.50116,2.8044,0.173652,2.73,3.15857,
2.5,1,3,3,6,6,1.01786,0,1.01786,1.01786,0.0833348,0.204128,0,0.500009,0,0,0,0,2,0,2,2,0.0834533,0.204418,0,0.50072,3.91059,0.774785,2.90998,4.41071,
2.6,2,2,5,7,7,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.05142,0.377964,2.90857,3.90857,
2.6,4,3,5,6,6,1.44741,0,1.44741,1.44741,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.73,0,2.73,2.73,
2.6,1,3,3,7,7,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,4.41071,0,4.41071,4.41071,
2.7,4,3,5,7,7,1.27904,0.169676,1.01884,1.44741,6.5,0,6.5,6.5,0,0,0,0,2.57143,0.9759,2,4,6.50116,0,6.50116,6.50116,2.95194,0.181481,2.73,3.23,
2.7,1,3,3,6,6,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.16071,0.612372,2.91071,4.41071,
2.8,4,3,6,5,5,1.08313,0.0638871,1.05455,1.19741,10.5,2.23607,6.5,11.5,0,0,0,0,2,0,2,2,10.5012,2.23607,6.50116,11.5012,2.84785,0.0559013,2.74785,2.87285,
2.8,1,2,2,5,5,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91071,0,2.91071,2.91071,
2.8,3,3,3,5,5,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91071,0,2.91071,2.91071,
2.9,4,3,6,6,6,1.05455,0,1.05455,1.05455,11.5,0,11.5,11.5,0,0,0,0,2,0,2,2,11.5012,0,11.5012,11.5012,2.87285,0,2.87285,2.87285,
2.9,1,2,2,6,6,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.36905,0.102062,3.16071,3.41071,
2.9,3,3,3,6,6,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91071,0,2.91071,2.91071,
3,1,2,2,7,7,1.01786,0,1.01786,1.01786,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.08418,0.360949,2.91071,3.875,
3,3,3,3,7,7,1.07143,0,1.07143,1.07143,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2.91071,0,2.91071,2.91071,
3.1,1,2,4,4,4,1.09027,0,1.09027,1.09027,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.31928,0,3.31928,3.31928,
3.1,3,3,4,5,5,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.90857,0,2.90857,2.90857,
3.1,2,2,2,6,6,1.10119,0.0145802,1.07143,1.10714,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.39286,0.387463,2.875,3.64286,
3.2,1,2,4,6,6,1.09027,0,1.09027,1.09027,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,3.31928,0,3.31928,3.31928,
3.2,3,3,4,6,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.90857,0,2.90857,2.90857,
3.2,2,2,2,6,6,1.10714,0,1.10714,1.10714,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3.64286,0,3.64286,3.64286,
3.3,1,2,4,7,7,1.09027,0,1.09027,1.09027,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.96724,0.155236,2.90857,3.31928,
3.3,3,3,4,6,6,1.01884,0,1.01884,1.01884,6.5,0,6.5,6.5,0,0,0,0,4,0,4,4,6.50116,0,6.50116,6.50116,2.90857,0,2.90857,2.90857,
